  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516108e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832509e-01	+0.000000000000000e+00	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815687e-01	+2.011683268185068e-01	+1.059119705167475e-01	+0.000000000000000e+00	    81
0.500000	+8.465025373571002e-01	-1.734723475976807e-18	+2.114910945288755e-01	-1.740708680222778e-01	+2.114910945288756e-01	+1.740708680222779e-01	+1.534974626428973e-01	+1.734723475976807e-18	   243
0.625000	+8.081295456760488e-01	+6.938893903907228e-18	+2.264939228529871e-01	-1.325912773724212e-01	+2.264939228529871e-01	+1.325912773724212e-01	+1.918704543239486e-01	-6.938893903907228e-18	   729
0.750000	+7.802940241982088e-01	+2.602085213965211e-18	+2.249162908437923e-01	-9.187164490485174e-02	+2.249162908437923e-01	+9.187164490485178e-02	+2.197059758017879e-01	-2.602085213965211e-18	  2187
0.875000	+7.619217390964014e-01	+1.461131834013668e-18	+2.179012143133439e-01	-5.722921862983807e-02	+2.179012143133439e-01	+5.722921862983807e-02	+2.380782609035948e-01	-1.461131834013668e-18	  6305
1.000000	+7.513187842880075e-01	+1.734723475976807e-17	+2.103367359095435e-01	-3.493646034638744e-02	+2.103367359095434e-01	+3.493646034638751e-02	+2.486812157119881e-01	-1.734723475976807e-17	 16867
1.125000	+7.457429006496232e-01	+5.030698080332741e-17	+2.046913947752164e-01	-1.832790061715848e-02	+2.046913947752165e-01	+1.832790061715840e-02	+2.542570993503727e-01	-5.030698080332741e-17	 41385
1.250000	+7.436435900555867e-01	+1.387778780781446e-17	+2.005886110976198e-01	-6.721215745372254e-03	+2.005886110976198e-01	+6.721215745372289e-03	+2.563564099444079e-01	-1.387778780781446e-17	 93435
1.375000	+7.437107552072300e-01	-8.326672684688674e-17	+1.976909371838667e-01	+5.837401862957043e-04	+1.976909371838666e-01	-5.837401862956310e-04	+2.562892447927645e-01	+8.326672684688674e-17	195825
1.500000	+7.448688149683697e-01	-4.981908982570893e-17	+1.956994871443728e-01	+4.300196282149647e-03	+1.956994871443729e-01	-4.300196282149796e-03	+2.551311850316222e-01	+4.981908982570893e-17	384723
1.625000	+7.462670964409773e-01	-1.283695372222837e-16	+1.943620944656713e-01	+5.133226824939318e-03	+1.943620944656713e-01	-5.133226824939293e-03	+2.537329035590126e-01	+1.283695372222837e-16	714873
1.750000	+7.472641684194399e-01	+2.049142105997603e-16	+1.934785647802884e-01	+3.751240123790224e-03	+1.934785647802881e-01	-3.751240123790166e-03	+2.527358315805586e-01	-2.049142105997603e-16	1266027
1.875000	+7.474060932909820e-01	-1.249000902703301e-16	+1.928990242821506e-01	+7.606911063436499e-04	+1.928990242821507e-01	-7.606911063438679e-04	+2.525939067089995e-01	+1.249000902703301e-16	2150721
2.000000	+7.464004636560717e-01	+1.539567084929416e-17	+1.925168348508270e-01	-3.310180620333711e-03	+1.925168348508279e-01	+3.310180620333645e-03	+2.535995363439147e-01	-1.539567084929416e-17	3523523
2.125000	+7.440887785467617e-01	-4.336808689942018e-18	+1.922592414361574e-01	-8.017789528440875e-03	+1.922592414361564e-01	+8.017789528441482e-03	+2.559112214532320e-01	+4.336808689942018e-18	5591881
2.250000	+7.404194400669289e-01	+4.770489558936220e-16	+1.920782743041037e-01	-1.300184887436417e-02	+1.920782743041050e-01	+1.300184887436275e-02	+2.595805599330636e-01	-4.770489558936220e-16	8628699
