  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.200000	+9.605304970014423e-01	+0.000000000000000e+00	+7.221037254900851e-02	-1.714266957408463e-01	+7.221037254900851e-02	+1.714266957408463e-01	+3.946950299855745e-02	+0.000000000000000e+00	     9
0.400000	+8.796422827941979e-01	+0.000000000000000e+00	+1.846060496185388e-01	-2.003192098183540e-01	+1.846060496185388e-01	+2.003192098183540e-01	+1.203577172058016e-01	+0.000000000000000e+00	    27
0.600000	+8.100205696409247e-01	+0.000000000000000e+00	+2.296187126456266e-01	-1.415552289162764e-01	+2.296187126456266e-01	+1.415552289162764e-01	+1.899794303590748e-01	+0.000000000000000e+00	    81
0.800000	+7.672900951023970e-01	+3.469446951953614e-18	+2.259707584397634e-01	-7.697704561151775e-02	+2.259707584397634e-01	+7.697704561151777e-02	+2.327099048976021e-01	-3.469446951953614e-18	   243
1.000000	+7.471334707620618e-01	-6.938893903907228e-18	+2.154300869918823e-01	-2.909936204471168e-02	+2.154300869918822e-01	+2.909936204471170e-02	+2.528665292379373e-01	+6.938893903907228e-18	   729
1.200000	+7.423988960254997e-01	+1.938011383317839e-18	+2.132257920330206e-01	+5.208279977629076e-04	+2.132257920330206e-01	-5.208279977629364e-04	+2.576011039744992e-01	-1.938011383317839e-18	  2187
1.400000	+7.457299301337790e-01	+2.428612866367530e-17	+2.183508117648326e-01	+1.164945232532978e-02	+2.183508117648325e-01	-1.164945232532972e-02	+2.542700698662195e-01	-2.428612866367530e-17	  6561
1.600000	+7.500984229567075e-01	+3.209238430557093e-17	+2.258611531084027e-01	+6.984980877867603e-03	+2.258611531084028e-01	-6.984980877867530e-03	+2.499015770432917e-01	-3.209238430557093e-17	 19171
1.800000	+7.503922540726035e-01	+1.951563910473908e-18	+2.309473354903060e-01	-6.683535456821319e-03	+2.309473354903059e-01	+6.683535456821347e-03	+2.496077459273935e-01	-1.951563910473908e-18	 52905
2.000000	+7.446192074692275e-01	-1.138412281109780e-16	+2.329319680140301e-01	-2.110828009844375e-02	+2.329319680140301e-01	+2.110828009844336e-02	+2.553807925307685e-01	+1.138412281109780e-16	135675
2.200000	+7.336632299628444e-01	+1.179611963664229e-16	+2.332599039637914e-01	-3.159917678216978e-02	+2.332599039637919e-01	+3.159917678217015e-02	+2.663367700371521e-01	-1.179611963664229e-16	322545
2.400000	+7.196655475559306e-01	-1.734723475976807e-16	+2.328657640688136e-01	-3.680917979256525e-02	+2.328657640688145e-01	+3.680917979256604e-02	+2.803344524440535e-01	+1.734723475976807e-16	714195
2.600000	+7.048288223899803e-01	+2.046973701652632e-16	+2.322595055102942e-01	-3.722053894647141e-02	+2.322595055102940e-01	+3.722053894647101e-02	+2.951711776100212e-01	-2.046973701652632e-16	1483641
2.800000	+6.908563663260752e-01	-7.563394355258879e-16	+2.316724138039821e-01	-3.413290153798052e-02	+2.316724138039834e-01	+3.413290153798021e-02	+3.091436336739224e-01	+7.563394355258879e-16	2913387
3.000000	+6.787793180844427e-01	+1.092604739322267e-15	+2.311851861283569e-01	-2.903228675058318e-02	+2.311851861283571e-01	+2.903228675058309e-02	+3.212206819155724e-01	-1.092604739322267e-15	5445441
