  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     1
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.554378914467760e-02	+0.000000000000000e+00	     1
0.250000	+9.693956404725921e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+3.060435952740679e-02	+0.000000000000000e+00	     1
0.375000	+9.548032667507178e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+4.519673324928053e-02	+0.000000000000000e+00	     1
0.500000	+9.406645345893498e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+5.933546541064797e-02	+0.000000000000000e+00	     1
0.625000	+9.269653413709606e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+7.303465862903666e-02	+0.000000000000000e+00	     1
0.750000	+9.136920228942491e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+8.630797710574767e-02	+0.000000000000000e+00	     1
0.875000	+9.008313397448419e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+9.916866025515436e-02	+0.000000000000000e+00	     1
1.000000	+8.883704640896963e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.116295359102993e-01	+0.000000000000000e+00	     1
1.125000	+8.762969668820341e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.237030331179609e-01	+0.000000000000000e+00	     1
1.250000	+8.645988054640414e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.354011945359531e-01	+0.000000000000000e+00	     1
1.375000	+8.532643115549722e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.467356884450219e-01	+0.000000000000000e+00	     1
1.500000	+8.422821796126713e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.577178203873223e-01	+0.000000000000000e+00	     1
1.625000	+8.316414555569106e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.683585444430823e-01	+0.000000000000000e+00	     1
1.750000	+8.213315258432888e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.786684741567036e-01	+0.000000000000000e+00	     1
1.875000	+8.113421068767971e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.886578931231948e-01	+0.000000000000000e+00	     1
2.000000	+8.016632347544913e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+1.983367652455000e-01	+0.000000000000000e+00	     1
2.125000	+7.922852553270404e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.077147446729505e-01	+0.000000000000000e+00	     1
2.250000	+7.831988145692362e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.168011854307540e-01	+0.000000000000000e+00	     1
2.375000	+7.743948492498619e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.256051507501278e-01	+0.000000000000000e+00	     1
2.500000	+7.658645778916104e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.341354221083787e-01	+0.000000000000000e+00	     1
2.625000	+7.575994920120380e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.424005079879505e-01	+0.000000000000000e+00	     1
2.750000	+7.495913476368150e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.504086523631729e-01	+0.000000000000000e+00	     1
2.875000	+7.418321570768093e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.581678429231782e-01	+0.000000000000000e+00	     1
3.000000	+7.343141809607998e-01	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+2.656858190391872e-01	+0.000000000000000e+00	     1
