  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516109e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    19
0.375000	+8.940880294832509e-01	+0.000000000000000e+00	+9.553914827945555e-02	-1.768871212539462e-01	+9.553914827945555e-02	+1.768871212539462e-01	+1.059119705167475e-01	+0.000000000000000e+00	    33
0.500000	+8.478990215408577e-01	+3.469446951953614e-18	+9.180084741804281e-02	-1.654095024881655e-01	+9.180084741804281e-02	+1.654095024881655e-01	+1.521009784591401e-01	-3.469446951953614e-18	    51
0.625000	+8.055898737000353e-01	+3.469446951953614e-18	+8.850694858456702e-02	-1.543677573610252e-01	+8.850694858456701e-02	+1.543677573610252e-01	+1.944101262999621e-01	-3.469446951953614e-18	    73
0.750000	+7.669718194171457e-01	+5.204170427930421e-18	+8.565519675044198e-02	-1.437660806081388e-01	+8.565519675044198e-02	+1.437660806081388e-01	+2.330281805828512e-01	-5.204170427930421e-18	    99
0.875000	+7.318523225519831e-01	+2.602085213965211e-18	+8.321887699753072e-02	-1.336170967864214e-01	+8.321887699753074e-02	+1.336170967864214e-01	+2.681476774480131e-01	-2.602085213965211e-18	   129
1.000000	+7.000326704759937e-01	-5.204170427930421e-18	+8.115604029479202e-02	-1.239319655455417e-01	+8.115604029479201e-02	+1.239319655455417e-01	+2.999673295240017e-01	+5.204170427930421e-18	   163
1.125000	+6.713098691073063e-01	+0.000000000000000e+00	+7.941825738000355e-02	-1.147153396324732e-01	+7.941825738000353e-02	+1.147153396324732e-01	+3.286901308926887e-01	+0.000000000000000e+00	   201
1.250000	+6.454804536254181e-01	-5.204170427930421e-18	+7.795709683508754e-02	-1.059642877331121e-01	+7.795709683508754e-02	+1.059642877331121e-01	+3.545195463745764e-01	+5.204170427930421e-18	   243
1.375000	+6.223444111327061e-01	+8.673617379884035e-19	+7.672797025171318e-02	-9.766938196908827e-02	+7.672797025171318e-02	+9.766938196908828e-02	+3.776555888672881e-01	-8.673617379884035e-19	   289
1.500000	+6.017083104089310e-01	-5.421010862427522e-18	+7.569186438590574e-02	-8.981650921379546e-02	+7.569186438590574e-02	+8.981650921379547e-02	+3.982916895910626e-01	+5.421010862427522e-18	   339
1.625000	+5.833874055457556e-01	-8.673617379884035e-19	+7.481570803066433e-02	-8.238861829572428e-02	+7.481570803066431e-02	+8.238861829572428e-02	+4.166125944542370e-01	+8.673617379884035e-19	   393
1.750000	+5.672068243379537e-01	+0.000000000000000e+00	+7.407200186433463e-02	-7.536710450113207e-02	+7.407200186433462e-02	+7.536710450113207e-02	+4.327931756620388e-01	+0.000000000000000e+00	   451
1.875000	+5.530020652505829e-01	+0.000000000000000e+00	+7.343813054464932e-02	-6.873279319336875e-02	+7.343813054464933e-02	+6.873279319336875e-02	+4.469979347494090e-01	+0.000000000000000e+00	   513
2.000000	+5.406190233395145e-01	+3.469446951953614e-18	+7.289559734986885e-02	-6.246658740047924e-02	+7.289559734986885e-02	+6.246658740047926e-02	+4.593809766604768e-01	-3.469446951953614e-18	   579
2.125000	+5.299137205300779e-01	+0.000000000000000e+00	+7.242930106104455e-02	-5.654986663022284e-02	+7.242930106104455e-02	+5.654986663022286e-02	+4.700862794699131e-01	+0.000000000000000e+00	   649
2.250000	+5.207518656620328e-01	-3.469446951953614e-18	+7.202690396575842e-02	-5.096471425853775e-02	+7.202690396575843e-02	+5.096471425853775e-02	+4.792481343379580e-01	+3.469446951953614e-18	   723
2.375000	+5.130083281453778e-01	-5.204170427930421e-18	+7.167830251661177e-02	-4.569403240150972e-02	+7.167830251661178e-02	+4.569403240150972e-02	+4.869916718546118e-01	+5.204170427930421e-18	   801
2.500000	+5.065665785433281e-01	-5.204170427930421e-18	+7.137519465327893e-02	-4.072158577062766e-02	+7.137519465327895e-02	+4.072158577062764e-02	+4.934334214566613e-01	+5.204170427930421e-18	   883
2.625000	+5.013181284593906e-01	-3.469446951953614e-18	+7.111073101570418e-02	-3.603200240303056e-02	+7.111073101570420e-02	+3.603200240303055e-02	+4.986818715405975e-01	+3.469446951953614e-18	   969
2.750000	+4.971619883594146e-01	+1.301042606982605e-18	+7.087923585470850e-02	-3.161074942191874e-02	+7.087923585470850e-02	+3.161074942191876e-02	+5.028380116405725e-01	-1.301042606982605e-18	  1059
2.875000	+4.940041532229476e-01	+1.463672932855431e-17	+7.067598442704315e-02	-2.744409535240765e-02	+7.067598442704315e-02	+2.744409535240764e-02	+5.059958467770386e-01	-1.463672932855431e-17	  1153
3.000000	+4.917571205212062e-01	-7.806255641895632e-18	+7.049702552044762e-02	-2.351906614071426e-02	+7.049702552044762e-02	+2.351906614071426e-02	+5.082428794787803e-01	+7.806255641895632e-18	  1251
