  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.150000	+9.776682445628024e-01	+0.000000000000000e+00	+4.248000868256351e-02	-1.375995060372943e-01	+4.248000868256351e-02	+1.375995060372943e-01	+2.233175543719698e-02	+0.000000000000000e+00	     9
0.300000	+9.237059995421227e-01	+0.000000000000000e+00	+1.305503780403786e-01	-2.011159360111178e-01	+1.305503780403786e-01	+2.011159360111178e-01	+7.629400045787610e-02	+0.000000000000000e+00	    27
0.450000	+8.633651094848337e-01	+0.000000000000000e+00	+1.994560326520827e-01	-1.883741712525811e-01	+1.994560326520827e-01	+1.883741712525810e-01	+1.366348905151646e-01	+0.000000000000000e+00	    81
0.600000	+8.135946668687779e-01	-3.469446951953614e-18	+2.264517653772146e-01	-1.412575457668988e-01	+2.264517653772146e-01	+1.412575457668987e-01	+1.864053331312198e-01	+3.469446951953614e-18	   243
0.750000	+7.789945017848204e-01	+3.469446951953614e-18	+2.259735834584367e-01	-9.183970703611972e-02	+2.259735834584368e-01	+9.183970703611971e-02	+2.210054982151769e-01	-3.469446951953614e-18	   729
0.900000	+7.580219191221114e-01	-2.168404344971009e-19	+2.174796973769123e-01	-5.103731307084550e-02	+2.174796973769122e-01	+5.103731307084554e-02	+2.419780808778851e-01	+2.168404344971009e-19	  2187
1.050000	+7.477372826822053e-01	+0.000000000000000e+00	+2.114747093131064e-01	-2.035971314096063e-02	+2.114747093131064e-01	+2.035971314096065e-02	+2.522627173177905e-01	+0.000000000000000e+00	  6561
1.200000	+7.450914911382152e-01	+2.949029909160572e-17	+2.106731340217081e-01	+9.014758076772924e-06	+2.106731340217080e-01	-9.014758076795679e-06	+2.549085088617799e-01	-2.949029909160572e-17	 19171
1.350000	+7.469691516707854e-01	+1.040834085586084e-17	+2.126238232849524e-01	+8.845642674406424e-03	+2.126238232849524e-01	-8.845642674406315e-03	+2.530308483292104e-01	-1.040834085586084e-17	 52905
1.500000	+7.501295718358078e-01	-4.510281037539698e-17	+2.142952801755331e-01	+9.042704600222050e-03	+2.142952801755334e-01	-9.042704600222015e-03	+2.498704281641891e-01	+4.510281037539698e-17	135675
1.650000	+7.522706499507601e-01	+2.775557561562891e-17	+2.154458680775593e-01	+3.892559795009142e-03	+2.154458680775601e-01	-3.892559795009069e-03	+2.477293500492335e-01	-2.775557561562891e-17	322545
1.800000	+7.521398493441990e-01	+2.374402757743255e-17	+2.160597200969727e-01	-4.035090369020432e-03	+2.160597200969727e-01	+4.035090369020511e-03	+2.478601506557929e-01	-2.374402757743255e-17	714195
1.950000	+7.492534873701185e-01	+2.736822744884952e-16	+2.162350628262419e-01	-1.284282302382694e-02	+2.162350628262417e-01	+1.284282302382705e-02	+2.507465126298736e-01	-2.736822744884952e-16	1483641
2.100000	+7.436547829001157e-01	+1.734723475976807e-17	+2.161035441191149e-01	-2.122470289616272e-02	+2.161035441191139e-01	+2.122470289616301e-02	+2.563452170998772e-01	-1.734723475976807e-17	2913387
2.250000	+7.357155399121496e-01	+2.248635305734936e-16	+2.157857152106733e-01	-2.836423207486828e-02	+2.157857152106729e-01	+2.836423207486740e-02	+2.642844600878428e-01	-2.248635305734936e-16	5445441
2.400000	+7.259825299575087e-01	+5.258380536554697e-17	+2.153740491336777e-01	-3.382712582935176e-02	+2.153740491336768e-01	+3.382712582935137e-02	+2.740174700424835e-01	-5.258380536554697e-17	9746883
2.550000	+7.150652161776947e-01	-3.920475055707584e-16	+2.149315609025723e-01	-3.746128893103281e-02	+2.149315609025710e-01	+3.746128893103184e-02	+2.849347838223015e-01	+3.920475055707584e-16	16793929
2.700000	+7.035588287275065e-01	-2.326264181284898e-15	+2.144970566549728e-01	-3.931076679218421e-02	+2.144970566549697e-01	+3.931076679218444e-02	+2.964411712724719e-01	+2.326264181284898e-15	27977691
2.850000	+6.919958869497645e-01	+2.084270256386134e-15	+2.140919065448062e-01	-3.954601020593242e-02	+2.140919065448125e-01	+3.954601020593181e-02	+3.080041130502730e-01	-2.084270256386134e-15	45235089
