  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516108e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832509e-01	+1.734723475976807e-18	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815687e-01	+2.011683268185068e-01	+1.059119705167475e-01	-1.734723475976807e-18	    81
0.500000	+8.465025373571005e-01	+3.469446951953614e-18	+2.114910945288756e-01	-1.740708680222778e-01	+2.114910945288756e-01	+1.740708680222779e-01	+1.534974626428974e-01	-3.469446951953614e-18	   243
0.625000	+8.081295456760487e-01	+3.469446951953614e-18	+2.264939228529871e-01	-1.325912773724212e-01	+2.264939228529872e-01	+1.325912773724212e-01	+1.918704543239486e-01	-3.469446951953614e-18	   665
0.750000	+7.802940241982089e-01	+4.336808689942018e-18	+2.132656280432362e-01	-1.065403104179240e-01	+2.132656280432362e-01	+1.065403104179240e-01	+2.197059758017879e-01	-4.336808689942018e-18	  1611
0.875000	+7.588792842079115e-01	-3.903127820947816e-18	+2.022067489392391e-01	-8.344454982057908e-02	+2.022067489392392e-01	+8.344454982057910e-02	+2.411207157920851e-01	+3.903127820947816e-18	  3489
1.000000	+7.429756744382850e-01	+1.040834085586084e-17	+1.931687638365670e-01	-6.329024075937587e-02	+1.931687638365669e-01	+6.329024075937592e-02	+2.570243255617108e-01	-1.040834085586084e-17	  6883
1.125000	+7.317022278292478e-01	+0.000000000000000e+00	+1.859502101261816e-01	-4.605853689677204e-02	+1.859502101261816e-01	+4.605853689677202e-02	+2.682977721707471e-01	+0.000000000000000e+00	 12585
1.250000	+7.242123529921303e-01	+1.062518129035794e-17	+1.803020947786293e-01	-3.167647652992503e-02	+1.803020947786293e-01	+3.167647652992513e-02	+2.757876470078643e-01	-1.062518129035794e-17	 21627
1.375000	+7.197092396215198e-01	+6.071532165918825e-17	+1.759546959984017e-01	-1.999690845025489e-02	+1.759546959984017e-01	+1.999690845025487e-02	+2.802907603784742e-01	-6.071532165918825e-17	 35313
1.500000	+7.174637409009158e-01	+6.938893903907228e-18	+1.726476027710623e-01	-1.080588148733028e-02	+1.726476027710621e-01	+1.080588148733028e-02	+2.825362590990800e-01	-6.938893903907228e-18	 55251
1.625000	+7.168284159303748e-01	-4.943961906533900e-17	+1.701506105338477e-01	-3.844874968468939e-03	+1.701506105338478e-01	+3.844874968469025e-03	+2.831715840696153e-01	+4.943961906533900e-17	 83385
1.750000	+7.172448167910241e-01	+3.122502256758253e-17	+1.682727934693742e-01	+1.164480471917913e-03	+1.682727934693740e-01	-1.164480471918022e-03	+2.827551832089696e-01	-3.122502256758253e-17	122027
1.875000	+7.182441251720681e-01	+9.367506770274758e-17	+1.668626792689841e-01	+4.500152923456190e-03	+1.668626792689842e-01	-4.500152923456313e-03	+2.817558748279239e-01	-9.367506770274758e-17	173889
2.000000	+7.194427741578402e-01	+1.067397038811979e-16	+1.658036123829431e-01	+6.425978558131649e-03	+1.658036123829430e-01	-6.425978558131612e-03	+2.805572258421508e-01	-1.067397038811979e-16	242115
2.125000	+7.205349876477530e-01	+1.003971211721577e-16	+1.650074235819532e-01	+7.183815944168043e-03	+1.650074235819533e-01	-7.183815944168172e-03	+2.794650123522384e-01	-1.003971211721577e-16	330313
2.250000	+7.212838486139710e-01	-1.726049858596923e-16	+1.644081896668611e-01	+6.990054902056334e-03	+1.644081896668610e-01	-6.990054902056351e-03	+2.787161513860191e-01	+1.726049858596923e-16	442587
2.375000	+7.215120214404991e-01	-1.535230276239474e-16	+1.639568665187533e-01	+6.034973092887450e-03	+1.639568665187530e-01	-6.034973092887436e-03	+2.784879785594939e-01	+1.535230276239474e-16	583569
2.500000	+7.210928194865355e-01	+6.765421556309548e-17	+1.636169984521759e-01	+4.483773933245204e-03	+1.636169984521757e-01	-4.483773933245174e-03	+2.789071805134576e-01	-6.765421556309548e-17	758451
2.625000	+7.199419899754412e-01	+1.162264728904461e-16	+1.633614315433677e-01	+2.478506056745852e-03	+1.633614315433672e-01	-2.478506056745704e-03	+2.800580100245494e-01	-1.162264728904461e-16	973017
2.750000	+7.180103784475322e-01	-2.255140518769849e-17	+1.631698595027455e-01	+1.403574801179600e-04	+1.631698595027458e-01	-1.403574801175304e-04	+2.819896215524496e-01	+2.255140518769849e-17	1233675
2.875000	+7.152775077837820e-01	-6.852157730108388e-16	+1.630270180787219e-01	-2.427976637254803e-03	+1.630270180787226e-01	+2.427976637254446e-03	+2.847224922162034e-01	+6.852157730108388e-16	1547489
3.000000	+7.117460355863585e-01	-3.790370795009324e-16	+1.629213666676938e-01	-5.140019459158456e-03	+1.629213666676933e-01	+5.140019459157701e-03	+2.882539644136261e-01	+3.790370795009324e-16	1922211
