  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516109e-02	-1.888175034237530e-01	+9.969278438516109e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832508e-01	-2.171368960286399e-18	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815687e-01	+2.011683268185068e-01	+1.059119705167475e-01	+2.171368960286399e-18	    81
0.500000	+8.465025373571003e-01	+3.469446951953614e-18	+2.114910945288755e-01	-1.740708680222778e-01	+2.114910945288755e-01	+1.740708680222779e-01	+1.534974626428973e-01	-3.469446951953614e-18	   243
0.625000	+8.081295456760488e-01	+6.938893903907228e-18	+2.264939228529871e-01	-1.325912773724212e-01	+2.264939228529871e-01	+1.325912773724212e-01	+1.918704543239486e-01	-6.938893903907228e-18	   729
0.750000	+7.802940241982087e-01	+7.870630145886959e-18	+2.249162908437923e-01	-9.187164490485175e-02	+2.249162908437924e-01	+9.187164490485178e-02	+2.197059758017879e-01	-7.870630145886959e-18	  2059
0.875000	+7.619217390964014e-01	+1.040834085586084e-17	+2.136991124634905e-01	-6.671869265911654e-02	+2.136991124634905e-01	+6.671869265911654e-02	+2.380782609035948e-01	-1.040834085586084e-17	  5281
1.000000	+7.495039525878046e-01	+3.133344278483108e-17	+2.047245104267727e-01	-4.590958523589690e-02	+2.047245104267727e-01	+4.590958523589694e-02	+2.504960474121911e-01	-3.133344278483108e-17	 12259
1.125000	+7.417794366740343e-01	+7.285838599102590e-17	+1.977209396762785e-01	-2.919661324763135e-02	+1.977209396762786e-01	+2.919661324763134e-02	+2.582205633259614e-01	-7.285838599102590e-17	 26025
1.250000	+7.376006453613189e-01	-6.591949208711867e-17	+1.923974522928792e-01	-1.629551812794781e-02	+1.923974522928793e-01	+1.629551812794779e-02	+2.623993546386753e-01	+6.591949208711867e-17	 51195
1.375000	+7.359418268697272e-01	-2.255140518769849e-17	+1.884496133080880e-01	-6.860450326471455e-03	+1.884496133080882e-01	+6.860450326471229e-03	+2.640581731302677e-01	+2.255140518769849e-17	 94449
1.500000	+7.359096274728981e-01	-8.673617379884035e-18	+1.855828839775498e-01	-4.857839235810346e-04	+1.855828839775499e-01	+4.857839235809167e-04	+2.640903725270964e-01	+8.673617379884035e-18	165075
1.625000	+7.367505729507211e-01	-1.231653667943533e-16	+1.835354981312837e-01	+3.271249333176324e-03	+1.835354981312837e-01	-3.271249333176393e-03	+2.632494270492681e-01	+1.231653667943533e-16	275577
1.750000	+7.378518036778879e-01	+1.110223024625157e-16	+1.820911285849225e-01	+4.860737200987737e-03	+1.820911285849226e-01	-4.860737200987808e-03	+2.621481963221111e-01	-1.110223024625157e-16	442347
1.875000	+7.387345747429467e-01	+2.257308923114820e-16	+1.810808260099106e-01	+4.713858033588963e-03	+1.810808260099110e-01	-4.713858033588799e-03	+2.612654252570456e-01	-2.257308923114820e-16	686401
2.000000	+7.390421757408381e-01	+3.573530360512223e-16	+1.803780285268365e-01	+3.224931507469401e-03	+1.803780285268368e-01	-3.224931507469285e-03	+2.609578242591538e-01	-3.573530360512223e-16	1034179
2.125000	+7.385246258328138e-01	+3.417405247674310e-16	+1.798906841726675e-01	+7.418870563388139e-04	+1.798906841726677e-01	-7.418870563387780e-04	+2.614753741671791e-01	-3.417405247674310e-16	1518409
2.250000	+7.370222486898839e-01	-1.023486850826316e-16	+1.795531701786398e-01	-2.436748067266443e-03	+1.795531701786399e-01	+2.436748067266690e-03	+2.629777513101099e-01	+1.023486850826316e-16	2179035
2.375000	+7.344496238519730e-01	+9.350159535514990e-16	+1.793193046591795e-01	-6.060583271583509e-03	+1.793193046591794e-01	+6.060583271584102e-03	+2.655503761480192e-01	-9.350159535514990e-16	3064209
2.500000	+7.307808078896805e-01	+7.615436059538183e-16	+1.791568342725844e-01	-9.923671385367934e-03	+1.791568342725851e-01	+9.923671385368295e-03	+2.692191921103076e-01	-7.615436059538183e-16	4231347
2.625000	+7.260362581201167e-01	+1.658395643033828e-15	+1.790433204446445e-01	-1.385968249459703e-02	+1.790433204446440e-01	+1.385968249459713e-02	+2.739637418798760e-01	-1.658395643033828e-15	5748249
2.750000	+7.202715872593644e-01	-5.997941943461371e-16	+1.789631742412154e-01	-1.773676046137304e-02	+1.789631742412160e-01	+1.773676046137327e-02	+2.797284127406373e-01	+5.997941943461371e-16	7694283
2.875000	+7.135680972788432e-01	+1.520918807562666e-15	+1.789055652954402e-01	-2.145253165612057e-02	+1.789055652954394e-01	+2.145253165611977e-02	+2.864319027211519e-01	-1.520918807562666e-15	10161633
