  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     5
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+2.911155655782188e-02	-1.140775597034087e-01	+2.911155655782188e-02	+1.140775597034087e-01	+5.564967340600127e-02	+0.000000000000000e+00	     7
0.375000	+9.062759705415734e-01	+0.000000000000000e+00	+2.827149814867434e-02	-1.105158458087396e-01	+2.827149814867434e-02	+1.105158458087396e-01	+9.372402945842494e-02	+0.000000000000000e+00	     9
0.500000	+8.701555773369731e-01	+0.000000000000000e+00	+2.751691684182018e-02	-1.070530867548355e-01	+2.751691684182018e-02	+1.070530867548355e-01	+1.298444226630246e-01	+0.000000000000000e+00	    11
0.625000	+8.359153287794072e-01	+0.000000000000000e+00	+2.685227253773312e-02	-1.036873891043198e-01	+2.685227253773312e-02	+1.036873891043198e-01	+1.640846712205901e-01	+0.000000000000000e+00	    13
0.750000	+8.034826131993931e-01	+8.673617379884035e-19	+2.627514243869385e-02	-1.004185118049426e-01	+2.627514243869385e-02	+1.004185118049426e-01	+1.965173868006037e-01	-8.673617379884035e-19	    15
0.875000	+7.727847988556084e-01	-1.734723475976807e-18	+2.577867005055097e-02	-9.724660051032755e-02	+2.577867005055097e-02	+9.724660051032755e-02	+2.272152011443879e-01	+1.734723475976807e-18	    17
1.000000	+7.437491230721900e-01	-8.673617379884035e-19	+2.535382075560021e-02	-9.417141765253602e-02	+2.535382075560021e-02	+9.417141765253602e-02	+2.562508769278056e-01	+8.673617379884035e-19	    19
1.125000	+7.163032010360996e-01	-1.734723475976807e-18	+2.499101906093788e-02	-9.119205624186529e-02	+2.499101906093788e-02	+9.119205624186529e-02	+2.836967989638954e-01	+1.734723475976807e-18	    21
1.250000	+6.903757188372399e-01	+0.000000000000000e+00	+2.468113571001439e-02	-8.830695358798664e-02	+2.468113571001439e-02	+8.830695358798664e-02	+3.096242811627546e-01	+0.000000000000000e+00	    23
1.375000	+6.658970588592675e-01	-3.469446951953614e-18	+2.441597415174132e-02	-8.551403313567416e-02	+2.441597415174132e-02	+8.551403313567416e-02	+3.341029411407266e-01	+3.469446951953614e-18	    25
1.500000	+6.427997616999386e-01	+8.673617379884035e-19	+2.418843508254044e-02	-8.281087032458088e-02	+2.418843508254044e-02	+8.281087032458088e-02	+3.572002383000550e-01	-8.673617379884035e-19	    27
1.625000	+6.210188181426493e-01	+5.204170427930421e-18	+2.399250137263995e-02	-8.019483609263488e-02	+2.399250137263995e-02	+8.019483609263488e-02	+3.789811818573438e-01	-5.204170427930421e-18	    29
1.750000	+6.004918214571036e-01	+0.000000000000000e+00	+2.382313736615838e-02	-7.766320515778320e-02	+2.382313736615838e-02	+7.766320515778320e-02	+3.995081785428887e-01	+0.000000000000000e+00	    31
1.875000	+5.811590179592423e-01	+8.673617379884035e-19	+2.367615748359860e-02	-7.521323125631196e-02	+2.367615748359860e-02	+7.521323125631196e-02	+4.188409820407495e-01	-8.673617379884035e-19	    33
2.000000	+5.629632891424490e-01	-1.734723475976807e-18	+2.354809300878876e-02	-7.284219633463943e-02	+2.354809300878876e-02	+7.284219633463943e-02	+4.370367108575425e-01	+1.734723475976807e-18	    35
2.125000	+5.458500907389923e-01	+8.673617379884035e-19	+2.343607041334327e-02	-7.054744094923668e-02	+2.343607041334327e-02	+7.054744094923668e-02	+4.541499092609986e-01	-8.673617379884035e-19	    37
2.250000	+5.297673665633054e-01	+8.673617379884035e-19	+2.333770605509424e-02	-6.832638181982489e-02	+2.333770605509424e-02	+6.832638181982489e-02	+4.702326334366848e-01	-8.673617379884035e-19	    39
2.375000	+5.146654490831247e-01	+5.204170427930421e-18	+2.325101778402164e-02	-6.617652092505162e-02	+2.325101778402164e-02	+6.617652092505162e-02	+4.853345509168651e-01	-5.204170427930421e-18	    41
2.500000	+5.004969544114215e-01	-1.734723475976807e-18	+2.317435204547375e-02	-6.409544919966430e-02	+2.317435204547375e-02	+6.409544919966430e-02	+4.995030455885676e-01	+1.734723475976807e-18	    43
2.625000	+4.872166765017555e-01	-1.301042606982605e-18	+2.310632436996237e-02	-6.208084688990981e-02	+2.310632436996237e-02	+6.208084688990981e-02	+5.127833234982331e-01	+1.301042606982605e-18	    45
2.750000	+4.747814834035498e-01	+8.673617379884035e-19	+2.304577105022665e-02	-6.013048191601748e-02	+2.304577105022665e-02	+6.013048191601748e-02	+5.252185165964385e-01	-8.673617379884035e-19	    47
2.875000	+4.631502171900074e-01	+3.469446951953614e-18	+2.299170998926946e-02	-5.824220710923876e-02	+2.299170998926946e-02	+5.824220710923876e-02	+5.368497828099800e-01	-3.469446951953614e-18	    49
3.000000	+4.522835983850430e-01	+8.673617379884035e-19	+2.294330898275623e-02	-5.641395687132610e-02	+2.294330898275623e-02	+5.641395687132610e-02	+5.477164016149439e-01	-8.673617379884035e-19	    51
