  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.200000	+9.605304970014423e-01	+0.000000000000000e+00	+7.221037254900851e-02	-1.714266957408463e-01	+7.221037254900851e-02	+1.714266957408463e-01	+3.946950299855745e-02	+0.000000000000000e+00	     9
0.400000	+8.796422827941979e-01	+0.000000000000000e+00	+1.846060496185388e-01	-2.003192098183540e-01	+1.846060496185388e-01	+2.003192098183540e-01	+1.203577172058016e-01	+0.000000000000000e+00	    27
0.600000	+8.100205696409247e-01	+0.000000000000000e+00	+2.296187126456266e-01	-1.415552289162764e-01	+2.296187126456266e-01	+1.415552289162764e-01	+1.899794303590747e-01	+0.000000000000000e+00	    81
0.800000	+7.672900951023971e-01	+0.000000000000000e+00	+2.259707584397634e-01	-7.697704561151777e-02	+2.259707584397634e-01	+7.697704561151776e-02	+2.327099048976021e-01	+0.000000000000000e+00	   243
1.000000	+7.471334707620618e-01	+0.000000000000000e+00	+2.154300869918822e-01	-2.909936204471168e-02	+2.154300869918823e-01	+2.909936204471168e-02	+2.528665292379373e-01	+0.000000000000000e+00	   729
1.200000	+7.423988960254997e-01	+1.084202172485504e-17	+2.132257920330206e-01	+5.208279977629432e-04	+2.132257920330206e-01	-5.208279977629467e-04	+2.576011039744992e-01	-1.084202172485504e-17	  2187
1.400000	+7.457299301337786e-01	+3.469446951953614e-18	+2.183508117648326e-01	+1.164945232532976e-02	+2.183508117648326e-01	-1.164945232532976e-02	+2.542700698662195e-01	-3.469446951953614e-18	  6305
1.600000	+7.500984229567071e-01	+1.143833291972207e-17	+2.239368252608600e-01	+6.782632728245131e-03	+2.239368252608601e-01	-6.782632728245034e-03	+2.499015770432914e-01	-1.143833291972207e-17	 16867
1.800000	+7.504187463361088e-01	-7.979727989493313e-17	+2.266876105157654e-01	-5.812086994267954e-03	+2.266876105157651e-01	+5.812086994267895e-03	+2.495812536638893e-01	+7.979727989493313e-17	 41385
2.000000	+7.450389033623130e-01	-8.153200337090993e-17	+2.275211401774796e-01	-1.920804417160775e-02	+2.275211401774797e-01	+1.920804417160766e-02	+2.549610966376850e-01	+8.153200337090993e-17	 93435
2.200000	+7.346908940332226e-01	+3.042542346537447e-16	+2.273067577816908e-01	-2.978145455755507e-02	+2.273067577816907e-01	+2.978145455755531e-02	+2.653091059667750e-01	-3.042542346537447e-16	195825
2.400000	+7.211092071818221e-01	-1.179611963664229e-16	+2.266530101609221e-01	-3.615515955109179e-02	+2.266530101609220e-01	+3.615515955109225e-02	+2.788907928181766e-01	+1.179611963664229e-16	384723
2.600000	+7.061883484317636e-01	-4.163336342344337e-17	+2.259032579481988e-01	-3.833242583878493e-02	+2.259032579481989e-01	+3.833242583878491e-02	+2.938116515682336e-01	+4.163336342344337e-17	714873
2.800000	+6.915323405740027e-01	-2.151057110211241e-16	+2.252159303217379e-01	-3.704860803238437e-02	+2.252159303217371e-01	+3.704860803238425e-02	+3.084676594259910e-01	+2.151057110211241e-16	1266027
3.000000	+6.782697905737293e-01	+2.376571162088226e-16	+2.246453031463957e-01	-3.332762922876083e-02	+2.246453031463956e-01	+3.332762922876058e-02	+3.217302094262643e-01	-2.376571162088226e-16	2150721
