  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.200000	+9.605304970014423e-01	+0.000000000000000e+00	+7.221037254900851e-02	-1.714266957408463e-01	+7.221037254900851e-02	+1.714266957408463e-01	+3.946950299855745e-02	+0.000000000000000e+00	     9
0.400000	+8.796422827941979e-01	+0.000000000000000e+00	+1.846060496185388e-01	-2.003192098183540e-01	+1.846060496185388e-01	+2.003192098183540e-01	+1.203577172058016e-01	+0.000000000000000e+00	    27
0.600000	+8.100205696409246e-01	+0.000000000000000e+00	+2.296187126456266e-01	-1.415552289162764e-01	+2.296187126456266e-01	+1.415552289162764e-01	+1.899794303590748e-01	+0.000000000000000e+00	    81
0.800000	+7.672900951023971e-01	+3.469446951953614e-18	+2.259707584397634e-01	-7.697704561151776e-02	+2.259707584397634e-01	+7.697704561151777e-02	+2.327099048976021e-01	-3.469446951953614e-18	   243
1.000000	+7.471334707620619e-01	+6.938893903907228e-18	+2.154300869918823e-01	-2.909936204471168e-02	+2.154300869918822e-01	+2.909936204471167e-02	+2.528665292379373e-01	-6.938893903907228e-18	   729
1.200000	+7.423988960254996e-01	+8.239936510889834e-18	+2.132257920330205e-01	+5.208279977629033e-04	+2.132257920330206e-01	-5.208279977629571e-04	+2.576011039744991e-01	-8.239936510889834e-18	  2059
1.400000	+7.457299301337792e-01	-5.204170427930421e-18	+2.158595367505793e-01	+1.025678433049319e-02	+2.158595367505793e-01	-1.025678433049317e-02	+2.542700698662194e-01	+5.204170427930421e-18	  5281
1.600000	+7.498249942508856e-01	+1.387778780781446e-17	+2.177451138109176e-01	+6.470312176555237e-03	+2.177451138109176e-01	-6.470312176555082e-03	+2.501750057491132e-01	-1.387778780781446e-17	 12259
1.800000	+7.503276854804598e-01	-3.458604930228759e-17	+2.186279146833836e-01	-3.771135283012848e-03	+2.186279146833838e-01	+3.771135283012612e-03	+2.496723145195379e-01	+3.458604930228759e-17	 26025
2.000000	+7.457967048785259e-01	-3.724234462487708e-17	+2.187248334966225e-01	-1.564414440379557e-02	+2.187248334966223e-01	+1.564414440379560e-02	+2.542032951214723e-01	+3.724234462487708e-17	 51195
2.200000	+7.365434505466502e-01	-2.818925648462312e-17	+2.183570621507515e-01	-2.622181085407862e-02	+2.183570621507518e-01	+2.622181085407883e-02	+2.634565494533463e-01	+2.818925648462312e-17	 94449
2.400000	+7.237628935278156e-01	-1.196959198423997e-16	+2.177821906950687e-01	-3.402615171837340e-02	+2.177821906950693e-01	+3.402615171837320e-02	+2.762371064721807e-01	+1.196959198423997e-16	165075
2.600000	+7.089422644803640e-01	-6.591949208711867e-17	+2.171603599545626e-01	-3.858207668825793e-02	+2.171603599545621e-01	+3.858207668825786e-02	+2.910577355196353e-01	+6.591949208711867e-17	275577
2.800000	+6.935005073558960e-01	-1.443073091578206e-16	+2.165740796825929e-01	-4.004040457327331e-02	+2.165740796825922e-01	+4.004040457327345e-02	+3.064994926440991e-01	+1.443073091578206e-16	442347
3.000000	+6.785997844034738e-01	-7.979727989493313e-17	+2.160572967178799e-01	-3.889278256245499e-02	+2.160572967178793e-01	+3.889278256245531e-02	+3.214002155965223e-01	+7.979727989493313e-17	686401
