  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516108e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832508e-01	-1.734723475976807e-18	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815687e-01	+2.011683268185068e-01	+1.059119705167475e-01	+1.734723475976807e-18	    81
0.500000	+8.465025373571003e-01	+6.938893903907228e-18	+2.114910945288756e-01	-1.740708680222778e-01	+2.114910945288756e-01	+1.740708680222779e-01	+1.534974626428973e-01	-6.938893903907228e-18	   211
0.625000	+8.081295456760489e-01	-1.734723475976807e-18	+1.989998787303192e-01	-1.495490584086590e-01	+1.989998787303192e-01	+1.495490584086589e-01	+1.918704543239486e-01	+1.734723475976807e-18	   473
0.750000	+7.761133431292180e-01	+2.602085213965211e-18	+1.882399074321265e-01	-1.268535707894909e-01	+1.882399074321265e-01	+1.268535707894909e-01	+2.238866568707787e-01	-2.602085213965211e-18	   939
0.875000	+7.498623138199789e-01	+0.000000000000000e+00	+1.791599925499679e-01	-1.060186919178102e-01	+1.791599925499679e-01	+1.060186919178101e-01	+2.501376861800176e-01	+0.000000000000000e+00	  1697
1.000000	+7.287797469034378e-01	-1.387778780781446e-17	+1.716481060114980e-01	-8.711191136924223e-02	+1.716481060114980e-01	+8.711191136924223e-02	+2.712202530965582e-01	+1.387778780781446e-17	  2851
1.125000	+7.122597259161734e-01	-3.469446951953614e-18	+1.655374990516106e-01	-7.018079769857954e-02	+1.655374990516106e-01	+7.018079769857959e-02	+2.877402740838216e-01	+3.469446951953614e-18	  4521
1.250000	+6.996965086164054e-01	-5.312590645178972e-18	+1.606294043218639e-01	-5.522275113330252e-02	+1.606294043218639e-01	+5.522275113330250e-02	+3.003034913835892e-01	+5.312590645178972e-18	  6843
1.375000	+6.905006769027724e-01	+1.040834085586084e-17	+1.567195197590591e-01	-4.217929189875005e-02	+1.567195197590591e-01	+4.217929189875009e-02	+3.094993230972223e-01	-1.040834085586084e-17	  9969
1.500000	+6.841152606708727e-01	-1.843143693225358e-17	+1.536181375282564e-01	-3.094612597456788e-02	+1.536181375282565e-01	+3.094612597456784e-02	+3.158847393291218e-01	+1.843143693225358e-17	 14067
1.625000	+6.800277852786902e-01	+2.732189474663471e-17	+1.511609042632366e-01	-2.138891288389582e-02	+1.511609042632368e-01	+2.138891288389577e-02	+3.199722147213024e-01	-2.732189474663471e-17	 19321
1.750000	+6.777771094747926e-01	-1.734723475976807e-17	+1.492119012157467e-01	-1.335820989013717e-02	+1.492119012157466e-01	+1.335820989013707e-02	+3.222228905252005e-01	+1.734723475976807e-17	 25931
1.875000	+6.769556929465924e-01	+5.160802341031001e-17	+1.476620688025985e-01	-6.700910235979174e-03	+1.476620688025985e-01	+6.700910235979195e-03	+3.230443070533984e-01	-5.160802341031001e-17	 34113
2.000000	+6.772085680401618e-01	+2.298508605669269e-17	+1.464255114341888e-01	-1.267866958423084e-03	+1.464255114341887e-01	+1.267866958423106e-03	+3.227914319598301e-01	-2.298508605669269e-17	 44099
2.125000	+6.782302631043441e-01	+9.540979117872439e-18	+1.454352752456883e-01	+3.081607244252966e-03	+1.454352752456883e-01	-3.081607244252937e-03	+3.217697368956478e-01	-9.540979117872439e-18	 56137
2.250000	+6.797606457033317e-01	-1.517883041479706e-17	+1.446394086657160e-01	+6.477466252310623e-03	+1.446394086657158e-01	-6.477466252310627e-03	+3.202393542966607e-01	+1.517883041479706e-17	 70491
2.375000	+6.815803465095759e-01	+7.632783294297951e-17	+1.439976217395948e-01	+9.038106897173001e-03	+1.439976217395948e-01	-9.038106897172948e-03	+3.184196534904122e-01	-7.632783294297951e-17	 87441
2.500000	+6.835061746202834e-01	+4.943961906533900e-17	+1.434785981850429e-01	+1.087042341593305e-02	+1.434785981850429e-01	-1.087042341593305e-02	+3.164938253796996e-01	-4.943961906533900e-17	107283
2.625000	+6.853867575959747e-01	-1.092875789865388e-16	+1.430578974359403e-01	+1.207035348981793e-02	+1.430578974359403e-01	-1.207035348981793e-02	+3.146132424040133e-01	+1.092875789865388e-16	130329
2.750000	+6.870985234705641e-01	-5.117434254131581e-17	+1.427163455099881e-01	+1.272366942438796e-02	+1.427163455099881e-01	-1.272366942438798e-02	+3.129014765294221e-01	+5.117434254131581e-17	156907
2.875000	+6.885420704978960e-01	+1.795438797635995e-16	+1.424388121727843e-01	+1.290686448462653e-02	+1.424388121727845e-01	-1.290686448462655e-02	+3.114579295020911e-01	-1.795438797635995e-16	187361
3.000000	+6.896389287508153e-01	+1.188285581044113e-16	+1.422132851989294e-01	+1.268804731388064e-02	+1.422132851989294e-01	-1.268804731388051e-02	+3.103610712491716e-01	-1.188285581044113e-16	222051
