  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.150000	+9.776682445628024e-01	+0.000000000000000e+00	+4.248000868256351e-02	-1.375995060372943e-01	+4.248000868256351e-02	+1.375995060372943e-01	+2.233175543719698e-02	+0.000000000000000e+00	     9
0.300000	+9.237059995421227e-01	+0.000000000000000e+00	+1.305503780403786e-01	-2.011159360111178e-01	+1.305503780403786e-01	+2.011159360111178e-01	+7.629400045787610e-02	+0.000000000000000e+00	    27
0.450000	+8.633651094848338e-01	+1.131636017531745e-18	+1.994560326520827e-01	-1.883741712525810e-01	+1.994560326520827e-01	+1.883741712525810e-01	+1.366348905151646e-01	-1.131636017531745e-18	    81
0.600000	+8.135946668687778e-01	+3.469446951953614e-18	+2.264517653772146e-01	-1.412575457668988e-01	+2.264517653772146e-01	+1.412575457668987e-01	+1.864053331312198e-01	-3.469446951953614e-18	   243
0.750000	+7.789945017848205e-01	+1.734723475976807e-18	+2.259735834584367e-01	-9.183970703611972e-02	+2.259735834584368e-01	+9.183970703611972e-02	+2.210054982151769e-01	-1.734723475976807e-18	   729
0.900000	+7.580219191221114e-01	+0.000000000000000e+00	+2.174796973769123e-01	-5.103731307084553e-02	+2.174796973769123e-01	+5.103731307084552e-02	+2.419780808778851e-01	+0.000000000000000e+00	  2187
1.050000	+7.477372826822056e-01	-5.204170427930421e-18	+2.114747093131064e-01	-2.035971314096066e-02	+2.114747093131064e-01	+2.035971314096066e-02	+2.522627173177905e-01	+5.204170427930421e-18	  6305
1.200000	+7.450914911382155e-01	+5.177065373618284e-18	+2.092190224246385e-01	-2.571027275607513e-03	+2.092190224246385e-01	+2.571027275607598e-03	+2.549085088617800e-01	-5.177065373618284e-18	 16867
1.350000	+7.464455500824914e-01	-3.469446951953614e-17	+2.081482998952068e-01	+5.909289475644885e-03	+2.081482998952069e-01	-5.909289475644854e-03	+2.535544499175036e-01	+3.469446951953614e-17	 41385
1.500000	+7.490518778062293e-01	-1.431146867680866e-17	+2.076885955755587e-01	+7.548647459181502e-03	+2.076885955755588e-01	-7.548647459181640e-03	+2.509481221937653e-01	+1.431146867680866e-17	 93435
1.650000	+7.510470227484138e-01	+6.938893903907228e-17	+2.074897242924091e-01	+4.512414259557590e-03	+2.074897242924091e-01	-4.512414259557590e-03	+2.489529772515806e-01	-6.938893903907228e-17	195825
1.800000	+7.512963524225869e-01	-1.283695372222837e-16	+2.073608836620835e-01	-1.379286667045215e-03	+2.073608836620836e-01	+1.379286667044754e-03	+2.487036475774050e-01	+1.283695372222837e-16	384723
1.950000	+7.492377185887790e-01	-2.081668171172169e-16	+2.072149414865996e-01	-8.674110045804508e-03	+2.072149414866004e-01	+8.674110045803858e-03	+2.507622814112150e-01	+2.081668171172169e-16	714873
2.100000	+7.447332329721479e-01	+1.088538981175446e-16	+2.070245233478737e-01	-1.627819812226733e-02	+2.070245233478730e-01	+1.627819812226708e-02	+2.552667670278447e-01	-1.088538981175446e-16	1266027
2.250000	+7.379381383787206e-01	+5.030698080332741e-16	+2.067916756312990e-01	-2.342016784948496e-02	+2.067916756312989e-01	+2.342016784948490e-02	+2.620618616212740e-01	-5.030698080332741e-16	2150721
2.400000	+7.291919574953992e-01	+3.781697177629439e-16	+2.065295454945603e-01	-2.960000661001261e-02	+2.065295454945592e-01	+2.960000661001356e-02	+2.708080425045941e-01	-3.781697177629439e-16	3523523
2.550000	+7.189331230822308e-01	-3.851086116668512e-16	+2.062528684594422e-01	-3.453377956272765e-02	+2.062528684594413e-01	+3.453377956272737e-02	+2.810668769177707e-01	+3.851086116668512e-16	5591881
2.700000	+7.076354993811061e-01	-8.673617379884035e-17	+2.059739694885586e-01	-3.810144518571947e-02	+2.059739694885602e-01	+3.810144518571781e-02	+2.923645006188629e-01	+8.673617379884035e-17	8628699
