  time  	       Re(rho11)       	       Im(rho11)       	       Re(rho12)       	       Im(rho12)       	       Re(rho21)       	       Im(rho21)       	       Re(rho22)       	       Im(rho22)       	#paths
0.000000	+1.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	+0.000000000000000e+00	     3
0.125000	+9.844562108553219e-01	+0.000000000000000e+00	+3.002402436043419e-02	-1.177431121626898e-01	+3.002402436043419e-02	+1.177431121626898e-01	+1.554378914467760e-02	+0.000000000000000e+00	     9
0.250000	+9.443503265939976e-01	+0.000000000000000e+00	+9.969278438516108e-02	-1.888175034237530e-01	+9.969278438516108e-02	+1.888175034237530e-01	+5.564967340600127e-02	+0.000000000000000e+00	    27
0.375000	+8.940880294832508e-01	-2.171368960286399e-18	+1.687622916815687e-01	-2.011683268185068e-01	+1.687622916815687e-01	+2.011683268185068e-01	+1.059119705167475e-01	+2.171368960286399e-18	    65
0.500000	+8.465025373571003e-01	+0.000000000000000e+00	+1.598602342698338e-01	-1.813703920829877e-01	+1.598602342698338e-01	+1.813703920829878e-01	+1.534974626428973e-01	+0.000000000000000e+00	   131
0.625000	+8.045325137778512e-01	+0.000000000000000e+00	+1.520151826102221e-01	-1.625962249041664e-01	+1.520151826102221e-01	+1.625962249041664e-01	+1.954674862221460e-01	+0.000000000000000e+00	   233
0.750000	+7.678212221150208e-01	+2.385244779468110e-18	+1.452372437163837e-01	-1.448449249380026e-01	+1.452372437163837e-01	+1.448449249380025e-01	+2.321787778849760e-01	-2.385244779468110e-18	   379
0.875000	+7.360085001663106e-01	-7.047314121155779e-19	+1.394841740022146e-01	-1.281576273469248e-01	+1.394841740022146e-01	+1.281576273469248e-01	+2.639914998336857e-01	+7.047314121155779e-19	   577
1.000000	+7.087201786312484e-01	+6.938893903907228e-18	+1.346702105748925e-01	-1.125815116809655e-01	+1.346702105748925e-01	+1.125815116809654e-01	+2.912798213687475e-01	-6.938893903907228e-18	   835
1.125000	+6.855692034639164e-01	-9.540979117872439e-18	+1.306826257954186e-01	-9.814569812325481e-02	+1.306826257954186e-01	+9.814569812325480e-02	+3.144307965360786e-01	+9.540979117872439e-18	  1161
1.250000	+6.661639886689649e-01	-6.938893903907228e-18	+1.273994863116376e-01	-8.485190541291779e-02	+1.273994863116376e-01	+8.485190541291780e-02	+3.338360113310295e-01	+6.938893903907228e-18	  1563
1.375000	+6.501189252228509e-01	-6.938893903907228e-18	+1.247032963763637e-01	-7.267573828777683e-02	+1.247032963763637e-01	+7.267573828777683e-02	+3.498810747771433e-01	+6.938893903907228e-18	  2049
1.500000	+6.370636019303533e-01	-7.372574772901430e-18	+1.224889013885000e-01	-6.157293063412716e-02	+1.224889013885000e-01	+6.157293063412716e-02	+3.629363980696403e-01	+7.372574772901430e-18	  2627
1.625000	+6.266493083004597e-01	-1.387778780781446e-17	+1.206665901809453e-01	-5.148648120561286e-02	+1.206665901809453e-01	+5.148648120561286e-02	+3.733506916995331e-01	+1.387778780781446e-17	  3305
1.750000	+6.185527579638622e-01	+1.647987302177967e-17	+1.191621259621137e-01	-4.235270961227049e-02	+1.191621259621137e-01	+4.235270961227047e-02	+3.814472420361303e-01	-1.647987302177967e-17	  4091
1.875000	+6.124775844747847e-01	-1.214306433183765e-17	+1.179152107427076e-01	-3.410567931843125e-02	+1.179152107427076e-01	+3.410567931843131e-02	+3.875224155252073e-01	+1.214306433183765e-17	  4993
2.000000	+6.081542867549564e-01	+2.081668171172169e-17	+1.168773771465226e-01	-2.668011683411141e-02	+1.168773771465226e-01	+2.668011683411143e-02	+3.918457132450361e-01	-2.081668171172169e-17	  6019
2.125000	+6.053392070360648e-01	-6.722053469410127e-18	+1.160098544831136e-01	-2.001317542150160e-02	+1.160098544831136e-01	+2.001317542150163e-02	+3.946607929639266e-01	+6.722053469410127e-18	  7177
2.250000	+6.038129709971799e-01	+4.510281037539698e-17	+1.152816590046271e-01	-1.404539406300101e-02	+1.152816590046271e-01	+1.404539406300103e-02	+3.961870290028111e-01	-4.510281037539698e-17	  8475
2.375000	+6.033786789796984e-01	-6.451002926288751e-18	+1.146679900641353e-01	-8.721131410029361e-03	+1.146679900641353e-01	+8.721131410029335e-03	+3.966213210202915e-01	+6.451002926288751e-18	  9921
2.500000	+6.038600297313899e-01	-1.561251128379126e-17	+1.141489305810772e-01	-3.988674809795685e-03	+1.141489305810772e-01	+3.988674809795716e-03	+3.961399702685992e-01	+1.561251128379126e-17	 11523
2.625000	+6.050994836300337e-01	-8.239936510889834e-18	+1.137084154949873e-01	+1.998412104705126e-04	+1.137084154949874e-01	-1.998412104705218e-04	+3.949005163699554e-01	+8.239936510889834e-18	 13289
2.750000	+6.069565236544134e-01	+2.482822974991805e-17	+1.133334221545894e-01	+3.888620520141435e-03	+1.133334221545894e-01	-3.888620520141442e-03	+3.930434763455720e-01	-2.482822974991805e-17	 15227
2.875000	+6.093060419228249e-01	+2.602085213965211e-17	+1.130133383198103e-01	+7.118441214688402e-03	+1.130133383198103e-01	-7.118441214688411e-03	+3.906939580771605e-01	-2.602085213965211e-17	 17345
3.000000	+6.120368613131012e-01	-1.821459649775647e-17	+1.127394695550690e-01	+9.926909294733834e-03	+1.127394695550689e-01	-9.926909294733829e-03	+3.879631386868861e-01	+1.821459649775647e-17	 19651
